disease,text,risk_level
otitis externa (swimmer's ear),Why do I have this weird ringing in my ear? It's so distracting!,Medium
anal fistula,I just want to understand why I'm having this pain near my anus.,Low
vesicoureteral reflux,The sporadic suprapubic pain is becoming a nuisance I can't ignore.,Low
bladder cancer,I'm worried about the frequent urge to urinate at night; it's exhausting.,Low
open wound of the arm,The redness around my open wound makes me anxious about infection.,Low
vertebrobasilar insufficiency,The vertigo attacks come suddenly with nausea and difficulty speaking; it's really concerning.,High
tuberculosis,The persistent low-grade fever and weight loss are very concerning; it's really concerning.,High
gastrointestinal hemorrhage,I woke up feeling weak and found blood when I used the toilet.,Emergency
mononucleosis,Why does mononucleosis cause such severe nasal congestion? It's just so frustrating!,Medium
raynaud disease,I dread when winter comes because my symptoms always flare up.,Low
adrenal adenoma,"The sharp abdominal pain hits me out of nowhere, and it’s really concerning Is this serious?",High
granuloma inguinale,This granuloma inguinale is causing me so much unexpected distress Is this serious?,High
somatization disorder,The aches all over my body make it impossible to get out of bed; I feel hopeless.,Emergency
valley fever,I didn’t know hand pain could be a symptom; it adds to my misery daily.,High
abscess of the lung,I keep experiencing depressive symptoms alongside my cough; this is impacting my quality of life.,High
female infertility of unknown cause,The uncertainty of my infertility diagnosis is emotionally exhausting for me.,Low
hypothermia,"The shivering wouldn’t stop, and it left me feeling completely drained and hopeless.",High
hormone disorder,It’s disheartening to see my growth stunted when everyone else seems to be growing fine.,Low
myelodysplastic syndrome,"Sometimes, I feel chills out of nowhere and it’s really unsettling.",Low
burn,I didn't think a small burn could cause such irritating hand swelling.,Low
amyloidosis,"Please help, i’m scared of the future with this wrist weakness limiting my daily life.",High
kidney stone,Sharp pain in my side hits me out of nowhere—it’s exhausting.,Medium
hypertrophic obstructive cardiomyopathy (hocm),My heart races suddenly and I feel like I might pass out; the palpitations are terrifying.,High
spinocerebellar ataxia,Dizziness and anxiety often leave me feeling trapped in my own home.,Low
bladder disorder,"I experienced blood in my urine, and it terrified me.",Medium
hemochromatosis,"Sometimes I struggle to express myself, which has affected my confidence.",Low
hemophilia,"Leg pain interrupts my sleep, making it hard to function daily.",Low
intussusception,Why does this sharp abdominal pain keep bothering me? It’s disrupting my life.,Low
acariasis,I'm worried my emotional symptoms are getting worse due to this condition.,Low
mastoiditis,It’s hard to ignore how congested my sinuses feel alongside this ear pain.,Low
uterine atony,"I've noticed blood in my urine, which adds to my stress during pregnancy.",Medium
nonalcoholic liver disease (nash),I feel like my mouth ulcers are a sign something isn’t right.,Low
abscess of the lung,"I've been having night sweats for a week, and now I'm coughing up blood-tinged mucus. I really need help.",High
obesity,"I've been struggling with weight gain that just won’t budge, no matter what I try.",Low
myoclonus,The pain from muscle swelling is almost as bad as the embarrassment of my jerks.,High
frostbite,Why is my elbow giving out on me after this frostbite exposure?,High
mononucleosis,"This fever has been dragging me down for days, and I can't get any relief.",Medium
common cold,Sometimes I feel like I can’t catch my breath from all this wheezing.,Medium
breast cyst,"I discovered a growth on my breast skin, and I'm not sure what to do next.",Low
colonic polyp,"The flatulence has been unbearable, and I’m worried it might be a polyp.",Medium
injury to the shoulder,The stiffness in my shoulder makes daily tasks really difficult.,Medium
kidney disease due to longstanding hypertension,"Please help, feeling cold all the time is a constant reminder of my kidney problems.",High
sinus bradycardia,Why am I feeling faint and dizzy all the time?,Emergency
arthritis of the hip,Standing for more than a few minutes leads to intense leg pain.,Medium
idiopathic absence of menstruation,How do I deal with this nagging lower abdominal pain and no menstruation?,Medium
fibrocystic breast disease,The swelling and lumpiness in my breasts make me feel self-conscious all the time.,Low
drug abuse,I feel like I'm in a fog; the drug abuse around me is suffocating.,Medium
central retinal artery or vein occlusion,"I noticed my vision becoming fuzzy, and it’s really bothering me.",Low
intracranial abscess,The persistent fever and worsening headache have me extremely worried; it's really concerning.,High
fracture of the leg,The ongoing leg pain is affecting my sleep and daily life drastically.,Medium
lung cancer,Seeing blood in my cough had me panicking this morning.,Emergency
myelodysplastic syndrome,Fatigue limits me from keeping up with friends and family.,Low
central atherosclerosis,"I need help, the shortness of breath keeps getting worse every time I try to exercise.",High
high blood pressure,My heart is pounding and I feel flushed; my blood pressure readings are alarming.,High
poisoning due to ethylene glycol,These fainting spells and depressive feelings are ruining my life since the poisoning What should I do?,High
pinguecula,"My pinguecula is making my eyes watery, and it's becoming quite a distraction.",Low
neuralgia,"The hip pain keeps me up at night, and I can’t find a comfortable position.",Medium
malaria,"I need help, i never expected malaria to come with this much pain and a huge knee lump.",High
omphalitis,"This flatulence is embarrassing, especially when I'm already feeling low.",Low
injury to the hand,"Every time I lift something, my wrist aches and feels weak.",Low
poisoning due to antipsychotics,Every dose feels like a poison; the sharp chest pain is unbearable What should I do?,High
moyamoya disease,"I’ve been feeling unusually low, and it’s hard to shake off the sadness.",Low
labyrinthitis,"The ear pain comes and goes, but it's always there lurking.",Medium
orbital cellulitis,"I can feel some swelling around my eye, and it's concerning me.",Low
pulmonary congestion,I'm experiencing severe shortness of breath and can't even walk to the bathroom.,Emergency
overflow incontinence,The pain in my lower abdomen affects my sleep and daily activities.,Low
cyst of the eyelid,The irritation from my eyelid cyst is driving me crazy!,Low
carbon monoxide poisoning,Why does my head hurt so much? It feels like a weight I can’t lift.,Low
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
open wound of the abdomen,This sharp abdominal pain near my wound makes it hard to sleep at night.,Low
cardiomyopathy,I never thought I'd experience this kind of fatigue; it's debilitating.,Emergency
neuralgia,The recurring back pain really limits my ability to enjoy family activities.,Medium
pelvic fistula,I'm constantly dealing with discomfort from vaginal discharge that just won’t stop.,Low
spondylosis,I never expected spondylosis to bring on such debilitating arm pain at my age.,Medium
cholecystitis,I feel a burning sensation in my side and can't find relief at all.,Emergency
mononucleosis,"My sore throat makes eating a painful chore, and I'm losing my appetite.",Medium
atrophy of the corpus cavernosum,The changes in my skin texture around the genital area are concerning.,Low
paronychia,"The pain in my finger is relentless, and the skin looks really abnormal right now.",Medium
chronic inflammatory demyelinating polyneuropathy (cidp),I’ve become anxious about driving because of my frequent dizziness.,Low
myasthenia gravis,I can’t believe how fast the shortness of breath comes on; it’s terrifying.,Emergency
abscess of the lung,I can't shake off the feeling of dread that comes with my lung abscess symptoms What should I do?,High
mumps,Why does my ear pain feel like it’s getting worse?,Low
dislocation of the vertebra,I'm frustrated that my elbow weakness limits my daily activities so much.,Low
osteomyelitis,I didn’t expect my hand to swell up like this.,Low
lung cancer,Why am I suddenly so short of breath while doing nothing?,Emergency
granuloma inguinale,"I need help, i'm really worried about the sharp chest pain I've been experiencing lately.",High
alcoholic liver disease,I keep having diarrhea after social events where alcohol is involved.,Low
poisoning due to antipsychotics,"I need help, every dose feels like a poison; the sharp chest pain is unbearable.",High
threatened pregnancy,"The cramps have been unbearable, and I can’t help but think it’s a sign of trouble.",Medium
heart attack,I experienced intense nausea along with irregular heartbeat last night.,Emergency
pancreatic cancer,I can't keep food down anymore; the nausea is unbearable.,Low
pericarditis,I’ve been having palpitations that leave me feeling dizzy and scared.,Emergency
hypertrophic obstructive cardiomyopathy (hocm),Living with HOCM makes everyday activities feel like a risky challenge What should I do?,High
congenital malformation syndrome,"The seizures come out of nowhere, and it's terrifying for both my child and me.",High
diaper rash,My baby has a painful diaper rash that keeps them crying all night.,Medium
insulin overdose,That overdose left me battling a storm of negative feelings.,Low
paronychia,I can't believe how tender my toe is; it feels like there's constant pressure from the swelling.,Medium
parkinson disease,"Some days, my legs feel so stiff that I can barely walk around the house.",Medium
gout,I've been struggling with intense pain in my big toe that just won't go away.,Medium
cardiomyopathy,"Each night, I wake up breathless; it’s turning my life upside down.",Emergency
open wound of the hand,"The area around my open hand wound looks infected, even if the pain is mild.",Low
intestinal malabsorption,I've noticed my abdominal pain tends to flare up with specific meals.,Low
nonalcoholic liver disease (nash),"Dizziness catches me off guard, and I don’t know if it’s normal.",Low
diverticulitis,The side pain is so bad; it feels like a never-ending ache.,Medium
pinguecula,I wish this pinguecula didn’t make my eyes feel so scratchy all the time!,Low
tension headache,I can’t focus at work because of the constant headache and nausea I feel.,Medium
chickenpox,Why does my skin look so strange with these chickenpox blisters?,Low
teething syndrome,Teething seems to be causing ear pain; my baby keeps tugging at their ear.,Medium
hypoglycemia,I felt so weak during my workout that I had to sit down.,Emergency
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away; it's really concerning.",High
extrapyramidal effect of drugs,I'm overwhelmed by my anxiety; these side effects are consuming me.,Emergency
oral thrush (yeast infection),Is there any relief for the cough that’s been bothering me with this?,Medium
raynaud disease,I can’t enjoy outdoor activities anymore because of my hand pain.,Low
tuberculosis,"The fever won't break, and my cough is producing blood-streaked sputum; it's really concerning.",High
pyloric stenosis,It feels like my child struggles to eat because of their cough.,Low
dissociative disorder,"I feel a heaviness in my back, like it's connected to my mind.",Low
myelodysplastic syndrome,I never expected my voice would become hard to use at times.,Low
somatization disorder,I’m so tired of feeling dizzy and faint; it’s affecting every part of my life.,Emergency
croup,Her hoarse voice makes me anxious; I can hardly recognize her when she talks.,Emergency
frostbite,"Lately, i can't move my fingers properly after being in the cold; they're stiff and discolored.",High
drug abuse (methamphetamine),"The meth abuse has destroyed my health, and I can barely function anymore.",Emergency
hyperlipidemia,I'm scared that my hyperlipidemia and weight gain will lead to even more health issues What should I do?,High
thyroid cancer,"The neck mass makes me self-conscious, and I feel uncomfortable.",Low
nose disorder,The ear pain and nasal congestion are unbearable right now.,Emergency
ingrown toe nail,"The skin around my toe looks infected, and I’m worried it might get worse.",Medium
meningitis,The combination of nausea and a terrible headache left me feeling hopeless.,Medium
transient ischemic attack,I’m genuinely worried about the sudden loss of sensation I’ve been experiencing.,Medium
phimosis,The pain during urination is becoming unbearable for me.,Low
epididymitis,"Every time I move, my groin pain flares up and it's frustrating.",Medium
myoclonus,The jerks happen even when I'm trying to sleep; I cannot get proper rest.,High
histoplasmosis,I’m concerned about my elbow weakness; it’s not something I’ve experienced before.,Low
encephalitis,My loss of sensation is concerning; I hope it’s nothing serious.,Low
nose disorder,I'm worried that my cough and fever mean something serious.,Emergency
valley fever,The cough and fever started weeks ago and just won't go away.,High
hepatic encephalopathy,"I'm struggling to breathe, and my legs are so swollen I can barely walk.",Emergency
sickle cell crisis,Why does this leg pain hit me out of nowhere? It's so frustrating!,Emergency
vacterl syndrome,It’s tough to manage everyday life with persistent emotional symptoms.,Low
intussusception,The abdominal pain is sharp and unexpected; it’s hard to manage.,Low
parasitic disease,"The sharp abdominal pain is new, and it's really bothering me.",Low
esophageal cancer,The sharp abdominal pain has gotten unbearable; what’s happening to me?,Emergency
emphysema,I’m terrified of how hard it is to breathe; this can't be normal.,Emergency
food allergy,I'm so tired of unexpected coughing fits after eating at restaurants.,Medium
gynecomastia,I’m tired of dealing with pain in my breasts that's impacting my life.,Low
hypertrophic obstructive cardiomyopathy (hocm),I'm constantly on edge; the chest pain keeps reminding me I'm not okay.,High
open wound of the ear,I’m so tired of managing this ear pain from my open wound.,Low
syringomyelia,Fainting during everyday activities is incredibly scary and embarrassing What should I do?,High
abscess of the lung,"It feels like I'm suffocating at times, and the cough only makes it worse What should I do?",High
ear drum damage,"The cough I have won’t subside, and my ear feels like it’s full of pressure.",Medium
meniere disease,"I never thought I'd be sidelined by dizziness, but here I am struggling.",Medium
hydronephrosis,The sharp abdominal pain keeps me awake at night and haunts my days.,Medium
temporomandibular joint disorder,This ear pain is relentless; I can't tell if it's TMJ or something else entirely.,Medium
abscess of the lung,I'm struggling with severe shortness of breath and it's making everyday tasks impossible.,High
hypertension of pregnancy,"I’m feeling constant uterine contractions, and I don’t know if I should be concerned.",Low
tuberous sclerosis,I can't believe how often my seizures disrupt my daily life.,High
skin cancer,I've discovered some peeling skin on my back that looks strange.,Medium
kidney stone,Why does every trip to the bathroom feel like a nightmare?,Medium
open wound of the cheek,I’m worried my cheek wound won't heal properly with all this facial pain.,Low
lymphoma,"I’ve got a neck mass that won’t go away, and it’s driving me to think about lymphoma.",Low
endometrial hyperplasia,I never expected to deal with involuntary urination after menopause; it’s frustrating.,Low
open wound of the jaw,Shouldn’t my open jaw wound be healing faster than this?,Low
crohn disease,I can't believe how often I'm experiencing diarrhea; it's exhausting.,Medium
hydrocele of the testicle,"Every time I stand up, the swelling in my scrotum just seems to get worse.",Medium
friedrich ataxia,The earaches are so frustrating; they just won't go away.,Low
paroxysmal supraventricular tachycardia,I can’t get a full breath in; this tachycardia is really scaring me.,Emergency
open wound of the head,My head feels heavy; it's worse with this open wound.,Low
myoclonus,"Please help, i’m terrified my seizures will strike at any moment, ruining my day.",High
histoplasmosis,"I’ve been feeling weak, especially in my elbows; it’s affecting my daily routine.",Low
pulmonic valve disease,"I can feel my heart beating irregularly, and the fatigue is overwhelming.",High
intestinal malabsorption,"I've been experiencing more flatulence than usual, and it's getting irritating.",Low
hypothyroidism,I never imagined I’d be dealing with weight gain like this at my age.,Low
friedrich ataxia,The constant ear discomfort is driving me up the wall.,Low
mononucleosis,I'm so tired of this mononucleosis; the fatigue is overwhelming and unending.,Medium
nonalcoholic liver disease (nash),Weight gain without reason has left me feeling anxious and helpless.,Low
drug abuse (barbiturates),I wish I could escape this constant nervousness that barbiturates bring.,Low
alcoholic liver disease,I'm worried about my health since I've been abusing alcohol more often.,Low
dermatitis due to sun exposure,"After a sunny weekend, I’m dealing with itchy skin and irritation.",Medium
central atherosclerosis,I feel pressure in my chest during physical activity that goes away when I rest; it's really concerning.,High
ingrown toe nail,"I've developed skin dryness around my toenail, and it’s adding to my discomfort.",Medium
toxic multinodular goiter,I wish someone could explain why I feel so fatigued for no apparent reason.,Low
dyshidrosis,I’m really frustrated with the skin rash that just won’t go away.,Low
stroke,"Everything around me started spinning, and I felt like I would fall.",Emergency
conjunctivitis due to bacteria,"I’ve got red eyes and a sore throat, but it’s manageable for now.",Low
psychotic disorder,"Why do I feel so nervous all the time, like something terrible is about to happen?",Medium
benign paroxysmal positional vertical (bppv),I can hardly walk without feeling like I’m going to fall over.,Emergency
chondromalacia of the patella,I didn't expect to deal with swelling and pain at my age.,Low
fibrocystic breast disease,It’s disheartening to keep finding lumps in my breast and not understand why.,Low
high blood pressure,The sharp chest pain keeps creeping in whenever I check my blood pressure What should I do?,High
intestinal malabsorption,I'm worried about how often I have to run to the bathroom—it can't be normal.,Low
prostatitis,It’s frustrating when every little thing triggers such intense pain while urinating.,Medium
acariasis,"My scrotum has been swollen for days, and it’s so uncomfortable.",Low
pulmonary fibrosis,"I can hardly breathe, and the pain in my chest is unbearable.",Emergency
intussusception,Each episode of sharp pain makes me fear intussusception could be the issue.,Low
hemiplegia,Why do I suddenly struggle to find the right words when speaking?,Emergency
intracerebral hemorrhage,The mental fog and confusion are making my everyday tasks impossible.,Emergency
athlete's foot,"Why does my athlete's foot keep returning, especially with the skin lesions?",Medium
astigmatism,I can’t trust my eyes anymore; it’s like they’re playing tricks on me.,Medium
retinopathy due to high blood pressure,"I’m troubled by the occasional cloudy vision, especially in bright light.",Low
gas gangrene,"The sharp abdominal pain just won’t go away, and it's frustrating.",Low
pemphigus,"The hand pain is subtle, but it’s annoying enough to disrupt my day.",Low
iron deficiency anemia,I can't shake this fatigue off; it feels like I’m always tired.,Medium
anemia due to chronic kidney disease,"I'm constantly fatigued, and it's affecting my daily life.",Emergency
cholesteatoma,"I've got this weird swelling around my face, and it's concerning.",Low
lichen simplex,The itching of my skin is driving me crazy; I can't focus on anything else.,Low
anemia due to malignancy,My skin is pale and I feel cold all the time; even small tasks exhaust me completely. I really need help.,High
myocarditis,I'm having difficulty breathing and my heart rhythm seems very irregular. I really need help.,High
jaw disorder,Even simple conversations become painful due to my jaw issues.,Medium
vaginitis,"During pregnancy, my vaginal symptoms have become overwhelming and frustrating.",Medium
intestinal disease,Why is this persistent nausea accompanied by such sharp abdominal pain? It’s unbearable!,Emergency
injury to the trunk,Every movement causes sharp pain in my trunk; I need help now.,Emergency
trichiasis,Having this constant sensation in my eye is really distracting.,Low
open wound of the cheek,I feel self-conscious about my open cheek wound and the pain it brings.,Low
nose disorder,My painful sinuses cause throbbing headaches that won't go away.,Emergency
anemia due to malignancy,I feel like I’m always fighting to catch my breath after the smallest effort Is this serious?,High
eye alignment disorder,I just don't understand why my eyes seem to be always out of sync.,Medium
interstitial lung disease,"Every time I try to sleep, I wake up gasping for air.",Emergency
adrenal cancer,"Sometimes, I struggle to hear clearly, and it's frustrating me a lot.",Low
fracture of the rib,I never thought a rib fracture could hurt this much; I'm scared.,Emergency
onychomycosis,"The skin on my leg looks infected, and I’m worried about it spreading.",Medium
multiple myeloma,I’ve been experiencing such weakness lately; it’s hard to get out of bed.,Low
spherocytosis,My elbow weakness came out of nowhere and it’s frustrating.,Low
broken tooth,I can’t believe my luck; my broken tooth is making my lips dry.,Low
seborrheic dermatitis,I feel like my dermatological issues are ruining my quality of life.,Medium
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore; it's really concerning.",High
viral exanthem,"The fever keeps coming and going, making me feel so weak.",Medium
sprain or strain,This shoulder pain is affecting my ability to lift things at work.,Medium
congenital malformation syndrome,I can’t believe how often my child suffers from seizures due to this syndrome What should I do?,High
sprain or strain,My neck pain is so intense; I can’t even look over my shoulder.,Medium
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
dental caries,"I thought it was just a toothache, but now my neck is swollen too.",Medium
nerve impingement near the shoulder,There’s a nagging pain in my shoulder that radiates down to my fingers.,Medium
lice,I can’t believe I have lice again; my scalp is so itchy!,Low
aspergillosis,My shortness of breath makes even simple tasks feel impossible and scary What should I do?,High
croup,"Every time he coughs, I fear he won't be able to catch his breath.",Emergency
obstructive sleep apnea (osa),"I wake up gasping for air, and it terrifies me every night.",Emergency
melanoma,I noticed a skin lesion that hasn't healed properly on my arm.,Medium
malaria,"Lately, i'm having severe sweating episodes after the chills pass, and I feel utterly drained.",High
cold sore,"I've tried everything for my cold sore, but the pain in my throat won't go away.",Low
congenital heart defect,"The swelling in my ankles won't go away, and I'm struggling to breathe when lying flat; it's really concerning.",High
hyperopia,The persistent eye redness makes me self-conscious in public.,Low
myocarditis,"I need help, the dizziness is debilitating; I can't focus on anything for too long.",High
vaginal yeast infection,I feel like I can’t get through a day without thinking about the itching.,Medium
conduct disorder,"His hostile behavior is escalating, and I feel helpless to stop it.",Emergency
aspergillosis,"I've been wheezing for weeks, and my asthma medications aren't helping anymore; it's really concerning.",High
oppositional disorder,"My obsessions control my life, and I can't find a way to cope.",Emergency
injury to the leg,Even resting my foot is painful due to the swelling I've noticed.,Medium
temporary or benign blood in urine,"I've noticed blood in my urine, along with sharp abdominal pain that just won’t go away.",Medium
tuberculosis,"The chest pain when I cough is severe, and I feel very weak; it's really concerning.",High
presbyopia,I keep getting a foreign body sensation in my eyes while working.,Low
fracture of the skull,I just want to feel normal again; this constant headache is wearing me out.,Low
congenital malformation syndrome,My child is having difficulty breathing and seems to tire very easily during feeding. I really need help.,High
arthritis of the hip,I often wake up with lower body pain that just won't go away.,Medium
fracture of the shoulder,Even small movements cause significant shoulder pain; it’s exhausting.,Low
somatization disorder,I’m trapped in this cycle of dizziness and anxiety; I need urgent help.,Emergency
melanoma,"My eyelid keeps itching, and it’s hard to concentrate on anything else.",Medium
poisoning due to analgesics,The painkillers seem to be affecting my mood negatively; I’m feeling low.,Low
pyloric stenosis,The cough and vomiting combination has me really on edge.,Low
menopause,"I thought menopause would be quick, but these symptoms feel endless.",Low
hyperlipidemia,"Lately, i'm having chest discomfort when I exert myself, and my cholesterol is very high.",High
alcohol abuse,"I keep smoking to cope with my alcohol abuse, but it’s not working.",Emergency
herpangina,The combination of symptoms is overwhelming; I need some relief soon.,Medium
syringomyelia,"Every morning, I wake up with a pounding headache that won't go away What should I do?",High
pyloric stenosis,I noticed my child has a persistent cough along with vomiting.,Low
tooth disorder,I’m struggling with ear pain that seems to be connected to my tooth issues.,Medium
hydrocele of the testicle,There's a visible mass in my scrotum that I can't stop worrying about.,Medium
arthritis of the hip,I can barely move my leg without feeling sharp hip pain.,Medium
fungal infection of the hair,I'm frustrated with the skin irritation on my scalp; it's hard to focus on anything else.,Medium
vaginitis,I can't shake off the uncomfortable vaginal pain that interrupts my daily activities.,Medium
birth trauma,I often feel a heavy weight on my chest since the delivery.,Low
retinal detachment,"Seeing spots in my vision is unsettling, and I can’t seem to get a proper explanation.",Medium
intestinal cancer,I can't shake this feeling of a tight throat; it’s making me anxious.,Low
floaters,The floaters make watching TV more challenging than it should be.,Low
neonatal jaundice,"My little one has jaundice, and I can’t help but feel anxious about the feeding issues.",Low
abdominal aortic aneurysm,I noticed severe palpitations alongside a burning sensation in my abdomen.,Emergency
vertebrobasilar insufficiency,"The back pain is relentless, and my balance is getting worse Is this serious?",High
granuloma inguinale,"Please help, the discomfort from this granuloma inguinale is affecting my daily life.",High
head injury,The double vision started right after I fell and hasn't improved.,Emergency
vaginal cyst,Menstrual blood clots are so painful; why is this happening now?,Medium
hepatic encephalopathy,"The fluid retention has made me feel heavier than ever, both physically and emotionally.",Emergency
fracture of the hand,"I've been dealing with persistent wrist pain since my hand fracture, and it's frustrating.",Medium
volvulus,It’s hard to stay positive when the vomiting won’t let up.,Low
pelvic organ prolapse,My quality of life has diminished so much with these urinary issues.,Medium
open wound of the hand,"It's just a small cut, but the swelling around it is surprising.",Low
benign prostatic hyperplasia (bph),I have to plan my outings around the nearest restroom because of my symptoms.,Medium
atrophic skin condition,I have pimples popping up in places where I’ve never had them before.,Medium
labyrinthitis,This constant dizziness feels like a rollercoaster ride I can’t escape from.,Medium
tuberculosis,"Please help, every time I breathe, my chest feels heavy and congested.",High
injury to the finger,Can a tiny injury really make my finger so swollen?,Low
anemia due to malignancy,"Please help, i never imagined that swallowing would become such a struggle for me.",High
pterygium,My eyes are always watering; could this be related to pterygium?,Low
poisoning due to ethylene glycol,The depression hit me hard after I accidentally ingested ethylene glycol.,High
central atherosclerosis,My legs cramp painfully after walking just a short distance; it's really concerning.,High
congenital malformation syndrome,I can see my child struggling more and more with basic functions that should be easy. I really need help.,High
substance-related mental disorder,I can’t stop using; it’s like the drug has a hold on me.,Low
diaper rash,The persistent diaper rash has me worried that something is really wrong.,Medium
granuloma inguinale,It’s frustrating to see a persistent mass forming in my knee area What should I do?,High
acute kidney injury,I can’t ignore the strange symptoms; shortness of breath and nausea are unbearable.,Emergency
injury of the ankle,My ankle pain gets worse whenever I try to move or bend it.,Medium
jaw disorder,"I never thought I’d dread swallowing food, but my jaw is making it unbearable.",Medium
idiopathic infrequent menstruation,It’s distressing to deal with unpredictable menstruation and the nausea that follows.,Low
alcohol abuse,The alcohol is making my anxiety spiral out of control.,Emergency
atrial fibrillation,The palpitations lasted too long; I knew something was wrong.,Emergency
drug withdrawal,My anxiety levels are through the roof; I didn’t anticipate this.,Low
tuberculosis,I never thought a cough could leave me feeling so helpless Is this serious?,High
open wound of the cheek,"My open cheek wound is small, but the pain is surprisingly bothersome.",Low
hyponatremia,"I thought I was just tired, but the back pain was unbearable.",Emergency
meckel diverticulum,I just want to be free from this annoying abdominal discomfort.,Low
heart contusion,This heart contusion has taken a toll on my mental health.,Low
hormone disorder,"I’ve been experiencing constant headaches, and I’m not sure if it’s related to my hormone disorder.",Low
dislocation of the elbow,Why does my elbow hurt so much when I'm trying to relax?,Low
chronic back pain,I woke up with severe back spasms again; it's like a cruel routine.,Medium
diabetes insipidus,I get dizzy spells that make it hard to focus.,Low
arthritis of the hip,I can't even play with my kids anymore because of my hip pain.,Medium
intertrigo (skin condition),Why is it that my skin seems to get worse every time the weather changes?,Low
poisoning due to antipsychotics,These antipsychotics have poisoned my mind with terrifying delusions.,High
melanoma,The skin swelling around my knees has become a painful concern.,Medium
coagulation (bleeding) disorder,Blood in my urine makes me feel uneasy about my health.,Low
mittelschmerz,The monthly lower abdominal pain is becoming too familiar and really bothers me.,Low
testicular cancer,I’ve been feeling anxious ever since I found a mass in my scrotum.,Low
transient ischemic attack,"I've been feeling dizzy and weak, and I'm really worried it might be serious.",Medium
wilson disease,I can't seem to shake this constant cough; it’s really getting on my nerves.,Low
conversion disorder,"I need help, i’m terrified every time I have a seizure that no one believes I’m really suffering.",High
deviated nasal septum,"The noise from my breathing is disturbing, and I'm worried it's getting worse.",Emergency
ear wax impaction,"I'm experiencing some fever, and I can't shake this ear issue.",Medium
premature ventricular contractions (pvcs),I have a constant feeling of tightness in my chest; it won’t go away no matter what I do.,Emergency
frostbite,I can’t shake this awful chest pain; is it really just from frostbite? What should I do?,High
thoracic outlet syndrome,I feel a strange numbness creeping into my fingers that’s alarming.,Emergency
scar,I didn’t expect my scar to become itchy; now it’s driving me crazy.,Low
vertebrobasilar insufficiency,I'm having episodes of severe dizziness and double vision that terrify me. I really need help.,High
impetigo,It’s hard to focus when I'm dealing with a cough and impetigo at the same time.,Medium
peripheral arterial disease,My feet feel so cold all the time; it's really uncomfortable.,Medium
salivary gland disorder,"My throat has felt scratchy lately, and it’s annoying.",Low
vulvar disorder,My vulvar area feels so dry; it’s uncomfortable and annoying.,Low
rheumatic fever,I hate how my eyes itch all day; it’s affecting my mood.,Low
osteochondroma,There's a strange skin lesion on my arm that I've never seen before; I hope it's nothing serious.,Low
spina bifida,I feel embarrassed when I experience involuntary urination in public.,Low
amyloidosis,The numbness and tingling in my hands and feet is getting worse every day.,High
fibroadenoma,I want answers about this breast lump; it’s causing me so much stress.,Low
impulse control disorder,Coping with these uncontrollable urges is exhausting; I need some support.,Medium
amyloidosis,Wrist weakness has made me feel helpless and frustrated with my daily activities Is this serious?,High
herniated disk,I struggle with arm weakness; it’s hard to carry groceries anymore.,Medium
