disease,text,risk_level
subconjunctival hemorrhage,"I noticed some bleeding from my eye, and I'm not sure what to do.",Emergency
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
burn,"The burn on my knee feels tender, and I can’t fully bend it.",Low
meningitis,"My cough wouldn’t stop, and the pain in my neck was really alarming.",Emergency
overflow incontinence,"The sensation of urgency comes and goes, but my bladder never feels empty.",Medium
epilepsy,I dread the moments before a seizure; the confusion and fear are overwhelming.,Medium
aspergillosis,"I can feel something is wrong in my lungs, the pain and breathlessness are getting worse; it's really concerning.",High
heat stroke,"The heat made me feel unusually hot, and my head started spinning.",Emergency
acne,"Every month, my long menstrual periods come with new skin rashes.",Low
congenital heart defect,"The swelling in my ankles won't go away, and I'm struggling to breathe when lying flat; it's really concerning.",High
acne,Why does my acne have to come with such dry and flaky skin?,Low
carbon monoxide poisoning,Why do I feel so nauseous? It’s making everyday life unbearable.,Emergency
meningitis,I had a fever and an awful headache that wouldn’t go away.,Emergency
high blood pressure,"Lately, i'm experiencing chest tightness and my vision is getting blurry from my blood pressure.",High
pterygium,I’ve been having a weird sensation in my eye that just won’t go away.,Medium
kidney disease due to longstanding hypertension,I am experiencing severe fatigue and my urine looks foamy and discolored.,High
burn,I thought the skin irritation from my burn would heal faster; it's quite annoying.,Low
anemia of chronic disease,Weakness has become my constant companion; I can’t enjoy anything anymore.,Medium
polycystic kidney disease,Why do I have to suffer through such severe back pain every day?,High
cardiomyopathy,Why does my heart feel like it's slowing down? It leaves me so anxious.,High
ovarian cancer,"I’ve found a lump in my groin, and it’s causing me a lot of stress.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I'm having severe headaches; it's really concerning.",High
acne,"My skin feels so rough, and the pimples just keep multiplying.",Low
poisoning due to antidepressants,"I thought antidepressants would help, but I just feel more lost.",Emergency
psychosexual disorder,"I want to enjoy intimacy, but my premature ejaculation is a huge hurdle.",Medium
deep vein thrombosis (dvt),"My foot has been slightly swollen, and I'm not sure why.",High
cardiac arrest,I felt like I was suffocating with an irregular heartbeat.,Emergency
chickenpox,"I thought the fever would be mild, but it's so annoying!",Medium
acne,I’m frustrated with how my acne leaves my skin looking so abnormal.,Low
common cold,Sometimes I feel like I can’t catch my breath from all this wheezing.,Low
poisoning due to antidepressants,"Sometimes, I just want to avoid everyone because of how I feel now.",Emergency
hyperhidrosis,It’s frustrating to deal with sweat when I’m just relaxing.,Medium
intracranial hemorrhage,"I’ve been having seizures, and it all started with a terrible headache.",Emergency
insect bite,The skin lesion from that bug bite looks worse than I thought it would.,Low
meningitis,"After a night of vomiting, I was terrified it might be meningitis.",Emergency
common cold,It’s not just the cold; now I’m dealing with an ear infection too!,Low
anemia of chronic disease,"I feel dizzy when I stand up too quickly, which is unsettling.",Medium
hypertensive heart disease,When will someone take my symptoms seriously? This can’t just be anxiety!,Emergency
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
gastroparesis,Every meal ends with regurgitation; I'm frightened this is more than just digestive issues.,Medium
chronic pain disorder,"My back pain limits my daily activities, and I feel so frustrated with my body.",Medium
heat stroke,"Lately, I’ve noticed I feel hot, even indoors with the AC on.",Emergency
poisoning due to ethylene glycol,"The abdominal pain is intense, and I feel very disoriented and confused; it's really concerning.",Emergency
huntington disease,The weakness in my arms makes it difficult to lift even light objects.,High
ascending cholangitis,I can't get over how ill I feel with this jaundice and fever.,Medium
sick sinus syndrome,I don't know how to deal with these sudden heart rate changes; it's frightening.,Medium
pneumoconiosis,Years of dust exposure have left me struggling to breathe during any activity. I really need help.,High
acne,I’m overwhelmed by how swollen my face gets during my menstrual cycle.,Low
spermatocele,I didn’t expect to have this kind of pain in my testicles.,Medium
retinal detachment,"This random pain in my eye is unbearable, and it’s affecting my daily life.",Medium
lymphogranuloma venereum,"I noticed a lump near my knee, and it's really concerning me lately.",Medium
poisoning due to ethylene glycol,I never thought I'd feel this depressed after a simple mistake with antifreeze.,Emergency
acute bronchiolitis,I’m really stressed because my baby is breathing so fast and shallow.,Medium
vertebrobasilar insufficiency,I'm experiencing numbness and weakness on one side during these episodes; it's really concerning.,High
subdural hemorrhage,"My baby's been so irritable, and I'm worried about something serious.",Emergency
hypothermia,"Lately, my movements are slow and clumsy, and I can't seem to warm up no matter what I do.",High
burn,I’m worried my hand pain from the burn is lasting longer than expected.,Low
poisoning due to ethylene glycol,"I think I swallowed antifreeze by mistake, and now I'm feeling very sick. I really need help.",Emergency
poisoning due to antipsychotics,My heart is racing and my body temperature is very high after taking extra pills; it's really concerning.,Emergency
poisoning due to anticonvulsants,The movement problems I’m having are really disrupting my daily routine.,Emergency
insect bite,I didn't think an insect bite could lead to this much peripheral edema.,Low
seasonal allergies (hay fever),"My throat is raw from coughing, and I feel so frustrated.",Low
common cold,"This cough is driving me crazy, especially at night when I try to sleep.",Low
poisoning due to anticonvulsants,I’ve had issues with movement since starting my anticonvulsant; it’s worrying.,Emergency
hypertensive heart disease,The palpitations are terrifying; it feels like my heart is skipping beats constantly.,Emergency
insect bite,This itching from an insect bite is keeping me up at night; I need relief!,Low
frostbite,"I was exposed to the cold for too long, and now my skin is blistering badly. I really need help.",Medium
ileus,"Every trip to the bathroom ends in pain of the anus, and I’m scared.",Medium
subdural hemorrhage,I worry a lot about my headaches; they leave me feeling helpless.,Emergency
subconjunctival hemorrhage,I feel embarrassed about the way my eye is looking and feeling.,Emergency
anemia due to chronic kidney disease,I'm scared because I can't seem to gain strength after losing weight.,High
seasonal allergies (hay fever),My eyes are so itchy that I can't focus on anything.,Low
pseudotumor cerebri,"Sometimes I notice my body moving oddly, and it's concerning.",High
valley fever,I am having severe fatigue and joint pain after traveling to the Southwest.,Medium
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
thyroid cancer,I’ve been feeling unusually tired and can’t shake it off.,High
jaw disorder,My jaw is so swollen that it impacts my ability to eat comfortably.,Medium
vertebrobasilar insufficiency,"My balance is completely off, and I feel like I might fall at any moment; it's really concerning.",High
open wound of the arm,"My elbow feels stiff, and it’s complicating my arm’s recovery.",Medium
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I am feeling very drunk and nauseated.,Emergency
erythema multiforme,Eating has become a chore because of my swollen throat.,Medium
poisoning due to gas,The gas exposure left me with drainage in my throat and difficulty breathing.,Emergency
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I'm feeling very drunk and nauseated. I really need help.,Emergency
burn,"The burn on my knee feels tender, and I can’t fully bend it.",Low
lung cancer,The coughing fits keep me awake at night; this isn’t normal.,High
malaria,"Lately, i can barely keep water down, and the fever and chills are relentless.",High
abscess of the lung,"My itchy eyelid is a constant distraction, but the shortness of breath is my biggest concern.",High
common cold,I can't believe how stuffy my nose is; it feels like it's completely blocked.,Low
head and neck cancer,I can’t shake this sore throat; it feels like it’s getting worse each day.,High
insulin overdose,"After my insulin mishap, I've been unusually irritable and tearful.",Emergency
congenital heart defect,"I've been dealing with this sharp chest pain, and no one seems to understand how serious it is.",High
poisoning due to analgesics,It’s concerning that I’ve had constant nausea and vomiting from the medication.,Emergency
abscess of the lung,"Every breath feels like a struggle, and the fever keeps coming back despite antibiotics.",High
delirium,The memory problems I’m experiencing are making everyday tasks impossible.,Medium
acne,I’m overwhelmed by how swollen my face gets during my menstrual cycle.,Low
insulin overdose,I just can't shake the feeling of despair from my insulin error.,Emergency
malaria,I've been vomiting and the high fever keeps cycling back every few hours. I really need help.,High
common cold,I woke up with a headache that feels like a vice grip on my skull.,Low
intracranial hemorrhage,How can a headache lead to such severe symptoms like dizziness and seizures?,Emergency
burn,I’m worried my hand pain from the burn is lasting longer than expected.,Low
gastrointestinal hemorrhage,I’m worried my sharp abdominal pain indicates a bigger issue.,Emergency
seasonal allergies (hay fever),These allergy symptoms are affecting my work and daily life.,Low
poisoning due to opioids,"I can't shake the feeling of unease, and it's mostly since I started the opioids.",Emergency
kidney failure,The swelling in my arms is alarming; I can barely move them at all.,High
burn,My wrist feels swollen after I burned it while cooking last week.,Low
herpangina,It’s hard to watch my little one vomit after every meal; it's heartbreaking.,Medium
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Low
human immunodeficiency virus infection (hiv),I can’t shake off this anxiety about HIV; the nightmares are keeping me up at night.,Medium
seasonal allergies (hay fever),"I can’t stop sneezing, and my nose feels completely stuffed up.",Low
chronic pancreatitis,"Just when I think I’ve adjusted, the symptoms come back with a vengeance.",Medium
lymphoma,"I’ve got a neck mass that won’t go away, and it’s driving me to think about lymphoma.",Medium
burn,My wrist feels swollen after I burned it while cooking last week.,Low
prostate cancer,Flushing episodes come out of nowhere and leave me feeling embarrassed.,High
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
carpal tunnel syndrome,I can't shake off this tightness in my fingers; it affects my daily activities.,Medium
common cold,All these symptoms combined are really making it hard to focus on anything.,Low
gastrointestinal hemorrhage,"I can’t shake the dizziness, and I’m afraid it won’t go away.",Emergency
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Low
hypothermia,My hands are blue and I am having trouble coordinating my movements.,High
common cold,I can't believe how stuffy my nose is; it feels like it's completely blocked.,Low
amyloidosis,The constant shortness of breath makes even simple tasks feel impossible.,Medium
abscess of the lung,"The sharp pain in my chest when I breathe is getting worse, and I'm sweating through my clothes at night. I really need help.",High
peritonitis,I woke up feeling nauseous and now I can’t stop throwing up.,Medium
poisoning due to antipsychotics,"The nervousness is overwhelming, and I can’t stand it any longer.",Emergency
heart attack,The sharp pain in my chest made me feel like I couldn't move.,Emergency
granuloma inguinale,"Every day, the lump in my knee reminds me how much this condition hurts.",Medium
intracranial abscess,"Lately, the headache is the worst I've ever had, and now I'm running a high fever.",Medium
vertebrobasilar insufficiency,I am experiencing numbness and weakness on one side during these episodes.,High
breast cyst,I can feel a lump in my breast; I hope it's just a benign cyst.,Medium
poisoning due to ethylene glycol,"After that antifreeze incident, I've been struggling with severe depressive symptoms.",Emergency
skin cancer,I've noticed some unusual skin growths that just won't go away.,High
dislocation of the finger,I can’t believe how much finger pain I’m dealing with after that dislocation.,Medium
insect bite,"After getting bitten, my lip swelled up like a balloon; it's so embarrassing.",Low
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
abscess of the lung,"The chest pain is unbearable when I cough, and I've lost my appetite completely.",High
poisoning due to antipsychotics,Every dose feels like a poison; the sharp chest pain is unbearable.,Emergency
bone cancer,Every day is a struggle with this abnormal fatigue and discomfort.,High
poisoning due to ethylene glycol,I'm having difficulty concentrating and my coordination is very poor; it's really concerning.,Emergency
hemiplegia,I can't control these abnormal movements; they're interrupting my daily life.,Emergency
subacute thyroiditis,I just want relief from these pregnancy-related symptoms.,Medium
skin cancer,The skin swelling around my eyes has me really worried about my health.,High
premature ovarian failure,I wish someone could explain why I’m gaining weight so rapidly.,High
heart contusion,This heart contusion has taken a toll on my mental health.,High
burn,I noticed some irritation on my fingers after steam from the kettle hit me.,Low
subdural hemorrhage,I feel like I'm constantly battling facial pain; it's exhausting.,Emergency
common cold,Why do I feel like my head is in a fog with this cold?,Low
de quervain disease,Even simple tasks are hard with this persistent finger pain.,Medium
huntington disease,I can't shake this nervousness; it's affecting my sleep and mood.,High
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
pneumoconiosis,Years of dust exposure have left me struggling to breathe during any activity; it's really concerning.,High
acne,I’m frustrated with how my acne leaves my skin looking so abnormal.,Low
pneumoconiosis,"My lungs feel heavy, and I'm producing more mucus than ever before; it's really concerning.",High
liver cancer,I’ve been feeling some discomfort in my upper abdomen lately.,High
thyroid cancer,I noticed a lump in my neck that's been worrying me.,High
osteochondrosis,My foot pain has made simple activities like walking feel exhausting.,Medium
common cold,Why do I have chills during the day when I’m not even sick?,Low
intracranial hemorrhage,"I can't concentrate, and I keep feeling like I'm about to faint.",Emergency
poisoning due to antimicrobial drugs,I can't catch my breath after using that medication; this is seriously frightening me.,Emergency
fracture of the arm,The tightness in my arm is frustrating; I just want to feel normal again.,Medium
burn,My skin irritation from that minor burn is making it hard to grip things.,Low
abscess of the lung,I keep experiencing depressive symptoms alongside my cough; this is impacting my quality of life.,High
hypothermia,My hands are blue and I'm having trouble coordinating my movements.,High
poisoning due to antipsychotics,Every dose feels like a poison; the sharp chest pain is unbearable.,Emergency
hypertrophic obstructive cardiomyopathy (hocm),I've been having episodes where my heart races uncontrollably and I nearly black out.,High
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
common cold,This flu-like syndrome is exhausting; I just want to feel like myself again.,Low
common cold,Sometimes I feel like I can’t catch my breath from all this wheezing.,Low
carbon monoxide poisoning,I’ve read about carbon monoxide poisoning and it worries me—especially with my symptoms.,Emergency
idiopathic nonmenstrual bleeding,Having intermenstrual bleeding makes it difficult to maintain a normal routine.,Medium
acne,I can’t believe how dry my skin is while I’m battling these pimples.,Low
cardiac arrest,"One moment I was fine, then shortness of breath hit hard.",Emergency
premenstrual tension syndrome,The headaches I get before my period make it impossible to focus.,Medium
contact dermatitis,"The scaliness on my elbows is so persistent, I need relief soon.",Medium
corneal disorder,"I keep experiencing double vision, and it’s making it impossible to read properly.",Medium
epidural hemorrhage,I didn’t expect to feel so emotionally unstable after my epidural.,Emergency
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
acne,I can’t stand how my skin looks abnormal with all these breakouts.,Low
seasonal allergies (hay fever),My eyes are so itchy that I can't focus on anything.,Low
chronic sinusitis,The frontal headache is ruining my days; I just want some relief from this sinus pain.,Medium
aspergillosis,"Lately, i've been wheezing for weeks, and my asthma medications aren't helping anymore.",High
hypertensive heart disease,I’m so exhausted from just trying to breathe; it shouldn't be this hard.,Emergency
nonalcoholic liver disease (nash),"Nausea has become a daily struggle, and I just want relief.",High
aspergillosis,"Every time I try to breathe deeply, I feel a tightness in my chest.",High
amyloidosis,"Lately, my skin has strange waxy patches, and I feel exhausted all the time.",Medium
sprain or strain,"Every time I move my arm, I’m reminded of the strain I have.",Medium
burn,I didn't think a small burn could cause such irritating hand swelling.,Low
poisoning due to antipsychotics,"I cannot control my movements properly, and my temperature is rising dangerously.",Emergency
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
granuloma inguinale,"I am noticing the infection spreading to other areas, and it's very concerning.",Medium
burn,I’ve been experiencing skin irritation on my arm after accidentally touching a hot surface.,Low
lumbago,The side pain I'm feeling occasionally adds to my overall discomfort.,Medium
subdural hemorrhage,Why do I have these strange depressive thoughts out of nowhere?,Emergency
common cold,The constant coughing is making my throat even sorer; it's so frustrating.,Low
extrapyramidal effect of drugs,The tightness in my arms is so bad I can barely lift anything.,Medium
poisoning due to antipsychotics,"Lately, the rigidity in my body and altered mental state have me very worried.",Emergency
open wound of the head,Why does my head have to hurt on top of this open wound?,Medium
adrenal cancer,"I've had some episodes of dizziness, and it's becoming really annoying.",High
carbon monoxide poisoning,I can’t shake this feeling of depression—could it really be from something like carbon monoxide?,Emergency
breast cyst,"I've noticed a lump in my breast, and it's causing me quite a bit of worry.",Medium
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
glucocorticoid deficiency,"The exhaustion is overwhelming, and even simple tasks feel impossible. I really need help.",Medium
malignant hypertension,"The headaches have been unbearable, and I'm terrified it's more than just stress.",Emergency
mumps,"My lymph nodes are swollen, and it’s making me feel off.",Medium
acne,I can’t stand how my skin looks abnormal with all these breakouts.,Low
burn,"I keep icing my wrist, but the pain from the burn is still bothering me.",Low
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Low
dysthymic disorder,It’s hard to focus because my memory keeps failing me lately.,Medium
poisoning due to ethylene glycol,"Lately, i think I swallowed antifreeze by mistake, and now I'm feeling very sick.",Emergency
myositis,I can't shake the feeling that my movement problems are getting worse.,Medium
metastatic cancer,"I just want to enjoy food again, but my appetite seems to vanish.",High
temporomandibular joint disorder,"Each morning I wake up with a sore throat, and I can't figure out the cause.",Medium
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
zenker diverticulum,"I'm aspirating food into my lungs, and it's causing coughing fits.",Medium
valley fever,It’s frustrating to deal with shoulder swelling on top of all my other valley fever symptoms.,Medium
kidney disease due to longstanding hypertension,"Lately, my blood pressure has been uncontrolled for years, and now my kidneys are suffering.",High
fracture of the rib,I can hardly walk because of the painful lump in my back.,Medium
common cold,"This cough is driving me crazy, especially at night when I try to sleep.",Low
gas gangrene,Sharp abdominal pain makes me wonder if I should see a doctor.,Medium
cold sore,Why do I keep getting cold sores? This one is really making my lip sore.,Medium
hypertrophic obstructive cardiomyopathy (hocm),"The chest pressure during activity is intense, and I'm afraid to exercise anymore. I really need help.",High
seasonal allergies (hay fever),My allergies are making me feel so fatigued; I can barely get out.,Low
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
primary kidney disease,I can't believe I'm dealing with this peripheral edema; it’s so uncomfortable.,High
insulin overdose,I didn’t expect to feel so down just from a little extra insulin.,Emergency
hypertrophic obstructive cardiomyopathy (hocm),"I can feel my heart beating irregularly, and I get dizzy with any exertion. I really need help.",High
meningitis,It was alarming how quickly my neck became stiff and painful.,Emergency
poisoning due to antipsychotics,I feel extremely sedated and my blood pressure seems very low.,Emergency
seasonal allergies (hay fever),I wish I could breathe easily; this coryza is exhausting me.,Low
stomach cancer,This constant nausea really affects my appetite and mood.,High
aspergillosis,I can feel something is wrong in my lungs; the pain and breathlessness are getting worse. I really need help.,High
floaters,I’m worried about how often I see these odd shapes now.,Medium
valley fever,I've been sick for weeks after exposure to desert dust; something is really wrong. I really need help.,Medium
hypertrophic obstructive cardiomyopathy (hocm),Living with HOCM makes everyday activities feel like a risky challenge.,High
cryptorchidism,I’m worried my son isn’t growing properly; his scrotum seems underdeveloped.,Medium
common cold,"This cough is driving me crazy, especially at night when I try to sleep.",Low
high blood pressure,"Every time my blood pressure spikes, I feel a sharp pain in my chest.",High
acne,"I’m tired of the irregular patches on my scalp, it’s so irritating.",Low
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
carbon monoxide poisoning,I can’t remember the last time I felt normal without a headache.,Emergency
bladder cancer,The lack of information about bladder health is really upsetting.,High
acne,"My skin feels so rough, and the pimples just keep multiplying.",Low
vacterl syndrome,Sometimes I just want someone to acknowledge my emotional pain.,Medium
hyperlipidemia,"The fatty deposits on my skin are new, and my blood tests show high lipid levels; it's really concerning.",Medium
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
congenital heart defect,I am constantly fatigued and can't keep up with my friends during normal activities.,High
drug poisoning due to medication,"I’m noticing I’m more sleepy than I used to be, and it isn’t like me.",Emergency
malignant hypertension,"Every time I try to sleep, my mind races, and my chest feels heavy.",Emergency
burn,My knee pain after that brief burn from the grill is really inconvenient.,Low
pneumoconiosis,Shortness of breath prevents me from enjoying time with my family.,High
syringomyelia,"My coordination has deteriorated, and the chronic pain is exhausting; it's really concerning.",Medium
vertebrobasilar insufficiency,"Lately, the vertigo attacks come suddenly with nausea and difficulty speaking.",High
seasonal allergies (hay fever),This time of year gives me such painful frontal headaches.,Low
poisoning due to ethylene glycol,I never thought I'd feel this depressed after a simple mistake with antifreeze.,Emergency
abscess of the lung,"Every breath feels like a struggle, and the fever keeps coming back despite antibiotics.",High
spondylitis,The stiffness in my spine makes it hard to get out of bed.,Medium
kidney disease due to longstanding hypertension,I struggle to find words mid-sentence; it’s incredibly frustrating.,High
skin pigmentation disorder,"There’s this strange skin growth on my leg that keeps itching, and I don’t know if I should worry.",Medium
chronic pain disorder,Even sitting for long periods brings unbearable discomfort in my back and hips.,Medium
fracture of the hand,Why won’t the swelling in my hand go down after the fracture?,Medium
raynaud disease,I can’t enjoy outdoor activities anymore because of my hand pain.,Medium
common cold,Why do I feel like my head is in a fog with this cold?,Low
